Sample	raw pair1	raw pair2	trimmed pair1	trimmed pair2	trimmed orphan1	trimmed orphan2	decontaminated hg37dec_v0.1_0 pair1	decontaminated hg37dec_v0.1_0 pair2	decontaminated hg37dec_v0.1_1 pair1	decontaminated hg37dec_v0.1_1 pair2	decontaminated hg37dec_v0.1_0 orphan1	decontaminated hg37dec_v0.1_0 orphan2	decontaminated hg37dec_v0.1_1 orphan1	decontaminated hg37dec_v0.1_1 orphan2	final pair1	final pair2	final orphan1	final orphan2
MSM9VZI6	14992107.0	14992107.0	14992107.0	14992107.0	NA	NA	14991295.0	14991295.0	14991295.0	14991295.0	28.0	13.0	28.0	13.0	14991295.0	14991295.0	28.0	13.0
MSM9VZIM	7428994.0	7428994.0	7428994.0	7428994.0	NA	NA	7428971.0	7428971.0	7428965.0	7428965.0	2.0	0.0	6.0	0.0	7428965.0	7428965.0	0.0	0.0
MSM9VZIO	3795888.0	3795888.0	3795888.0	3795888.0	NA	NA	3780451.0	3780451.0	3780451.0	3780451.0	352.0	377.0	352.0	377.0	3780451.0	3780451.0	352.0	377.0
MSM9VZIQ	14363601.0	14363601.0	14363601.0	14363601.0	NA	NA	14359984.0	14359984.0	14359984.0	14359984.0	82.0	79.0	82.0	79.0	14359984.0	14359984.0	82.0	79.0
MSM9VZIS	11367855.0	11367855.0	11367855.0	11367855.0	NA	NA	11367809.0	11367809.0	11367809.0	11367809.0	1.0	1.0	1.0	1.0	11367809.0	11367809.0	1.0	1.0
MSM9VZIU	15764689.0	15764689.0	15764689.0	15764689.0	NA	NA	15764565.0	15764565.0	15764565.0	15764565.0	2.0	3.0	2.0	3.0	15764565.0	15764565.0	2.0	3.0
MSM9VZIW	10898069.0	10898069.0	10898069.0	10898069.0	NA	NA	10897987.0	10897987.0	10897987.0	10897987.0	5.0	2.0	5.0	2.0	10897987.0	10897987.0	5.0	2.0
MSM9VZIY	9276303.0	9276303.0	9276303.0	9276303.0	NA	NA	9276222.0	9276222.0	9276210.0	9276210.0	2.0	0.0	12.0	0.0	9276210.0	9276210.0	0.0	0.0
MSM9VZJ3	23274888.0	23274888.0	23274888.0	23274888.0	NA	NA	23274665.0	23274665.0	23274665.0	23274665.0	5.0	4.0	5.0	4.0	23274665.0	23274665.0	5.0	4.0
MSM9VZJB	9217804.0	9217804.0	9217804.0	9217804.0	NA	NA	9217525.0	9217525.0	9217525.0	9217525.0	12.0	5.0	12.0	5.0	9217525.0	9217525.0	12.0	5.0
MSM9VZJF_P	13262753.0	13262753.0	10060638.0	10060638.0	1237579.0	412475.0	10041491.0	10041491.0	10041491.0	10041491.0	1235440.0	411731.0	1235440.0	411731.0	10041491.0	10041491.0	1235440.0	411731.0
MSM9VZJJ_P	14476019.0	14476019.0	10884544.0	10884544.0	1115207.0	561606.0	10876605.0	10876605.0	10876605.0	10876605.0	1114319.0	561193.0	1114319.0	561193.0	10876605.0	10876605.0	1114319.0	561193.0
MSM9VZJZ	19071362.0	19071362.0	19071362.0	19071362.0	NA	NA	19070611.0	19070611.0	19070611.0	19070611.0	16.0	6.0	16.0	6.0	19070611.0	19070611.0	16.0	6.0
MSM9VZKC	8937765.0	8937765.0	8937765.0	8937765.0	NA	NA	8937519.0	8937519.0	8937519.0	8937519.0	4.0	10.0	4.0	10.0	8937519.0	8937519.0	4.0	10.0
MSM9VZKE	14778572.0	14778572.0	14778572.0	14778572.0	NA	NA	14778111.0	14778111.0	14778111.0	14778111.0	8.0	16.0	8.0	16.0	14778111.0	14778111.0	8.0	16.0
MSM9VZKI	13555880.0	13555880.0	13555880.0	13555880.0	NA	NA	13555347.0	13555347.0	13555347.0	13555347.0	15.0	10.0	15.0	10.0	13555347.0	13555347.0	15.0	10.0
MSM9VZL5	17176189.0	17176189.0	17176189.0	17176189.0	NA	NA	17176093.0	17176093.0	17176093.0	17176093.0	3.0	3.0	3.0	3.0	17176093.0	17176093.0	3.0	3.0
MSM9VZL7	9261741.0	9261741.0	9261741.0	9261741.0	NA	NA	9261329.0	9261329.0	9261329.0	9261329.0	11.0	15.0	11.0	15.0	9261329.0	9261329.0	11.0	15.0
MSM9VZL9	14309924.0	14309924.0	14309924.0	14309924.0	NA	NA	14309710.0	14309710.0	14309710.0	14309710.0	5.0	8.0	5.0	8.0	14309710.0	14309710.0	5.0	8.0
MSM9VZLB	17093786.0	17093786.0	17093786.0	17093786.0	NA	NA	17093686.0	17093686.0	17093686.0	17093686.0	6.0	3.0	6.0	3.0	17093686.0	17093686.0	6.0	3.0
MSM9VZLD	8733238.0	8733238.0	8733238.0	8733238.0	NA	NA	8733064.0	8733064.0	8733064.0	8733064.0	3.0	3.0	3.0	3.0	8733064.0	8733064.0	3.0	3.0
MSM9VZLF	8932013.0	8932013.0	8932013.0	8932013.0	NA	NA	8931883.0	8931883.0	8931883.0	8931883.0	4.0	3.0	4.0	3.0	8931883.0	8931883.0	4.0	3.0
MSM9VZLH	9406533.0	9406533.0	9406533.0	9406533.0	NA	NA	9406387.0	9406387.0	9406387.0	9406387.0	1.0	3.0	1.0	3.0	9406387.0	9406387.0	1.0	3.0
MSM9VZLJ	12982625.0	12982625.0	12982625.0	12982625.0	NA	NA	12982538.0	12982538.0	12982538.0	12982538.0	2.0	3.0	2.0	3.0	12982538.0	12982538.0	2.0	3.0
MSM9VZLL	15229050.0	15229050.0	15229050.0	15229050.0	NA	NA	15221992.0	15221992.0	15221992.0	15221992.0	482.0	403.0	482.0	403.0	15221992.0	15221992.0	482.0	403.0
MSM9VZLN	13757152.0	13757152.0	13757152.0	13757152.0	NA	NA	13748583.0	13748583.0	13748583.0	13748583.0	227.0	235.0	227.0	235.0	13748583.0	13748583.0	227.0	235.0
